Location,TIMESTAMP,AirT_15cm_C,RH_15cm,SoilT5_C,SoilT10_C,VWC,Rain(in)
Quincy,6/18/2020 18:00,32.26348,43.6844,35.25815,33.23944,NAN,0
Quincy,6/18/2020 18:15,32.21616,43.49972,35.20667,33.23605,NAN,0
Quincy,6/18/2020 18:30,32.05895,43.36999,35.13913,33.26923,NAN,0
Quincy,6/18/2020 18:45,29.94205,57.31536,34.68954,33.26071,NAN,0
Quincy,6/18/2020 19:00,30.47929,48.77445,34.17508,33.06973,NAN,0
Quincy,6/18/2020 19:15,30.18166,60.68838,33.77957,32.92194,NAN,0
Quincy,6/18/2020 19:30,31.06232,51.29429,33.50674,32.76303,NAN,0
Quincy,6/18/2020 19:45,30.64108,52.46951,33.32718,32.55975,NAN,0
Quincy,6/18/2020 20:00,29.76347,63.283,33.03674,32.47894,NAN,0
Quincy,6/18/2020 20:15,27.96249,63.59589,32.61069,32.22198,NAN,0
Quincy,6/18/2020 20:30,26.77966,68.81109,32.08185,32.05554,NAN,0
Quincy,6/18/2020 20:45,26.3462,70.35567,31.59253,31.80981,NAN,0
Quincy,6/18/2020 21:00,25.79217,71.47288,31.06192,31.51718,NAN,0
Quincy,6/18/2020 21:15,25.40755,72.12917,30.7334,31.20764,NAN,0
Quincy,6/18/2020 21:30,24.76347,76.2882,30.3663,30.91998,NAN,0
Quincy,6/18/2020 21:45,24.0202,80.66397,30.03549,30.71756,NAN,0
Quincy,6/18/2020 22:00,23.36237,84.84743,29.73465,30.48404,NAN,0
Quincy,6/18/2020 22:15,23.1258,84.99395,29.44775,30.1904,NAN,0
Quincy,6/18/2020 22:30,22.67556,87.91214,29.18808,30.01297,NAN,0
Quincy,6/18/2020 22:45,22.40999,88.86605,28.95056,29.81796,NAN,0
Quincy,6/18/2020 23:00,22.35658,90.19542,28.72357,29.55179,NAN,0
Quincy,6/18/2020 23:15,22.06811,89.6475,28.53076,29.38132,NAN,0
Quincy,6/18/2020 23:30,21.94143,90.84255,28.30923,29.24503,NAN,0
Quincy,6/18/2020 23:45,21.72928,90.90817,28.10379,29.04343,NAN,0
Quincy,6/19/2020 0:00,21.81323,89.66428,27.8848,28.90384,NAN,0
Quincy,6/19/2020 0:15,21.93228,89.58797,27.6962,28.69812,NAN,0
Quincy,6/19/2020 0:30,21.97807,88.13802,27.47592,28.56058,NAN,0
Quincy,6/19/2020 0:45,21.43472,91.18138,27.36374,28.40497,NAN,0
Quincy,6/19/2020 1:00,21.34314,92.14292,27.19998,28.24557,NAN,0
Quincy,6/19/2020 1:15,20.82116,92.50616,27.05127,28.08609,NAN,0
Quincy,6/19/2020 1:30,20.88221,93.96832,26.88031,27.96844,NAN,0
Quincy,6/19/2020 1:45,21.15084,93.57149,26.75629,27.82037,NAN,0
Quincy,6/19/2020 2:00,21.21799,92.95184,26.60147,27.68237,NAN,0
Quincy,6/19/2020 2:15,21.20425,92.98235,26.51584,27.56735,NAN,0
Quincy,6/19/2020 2:30,21.23936,91.35079,26.34296,27.4158,NAN,0
Quincy,6/19/2020 2:45,21.01652,93.15939,26.28528,27.35284,NAN,0
Quincy,6/19/2020 3:00,20.957,93.73632,26.17017,27.24463,NAN,0
Quincy,6/19/2020 3:15,20.84253,94.59866,26.08331,27.13022,NAN,0
Quincy,6/19/2020 3:30,20.77691,95.12979,25.97018,27.01901,NAN,0
Quincy,6/19/2020 3:45,20.66243,95.46862,25.88586,26.90817,NAN,0
Quincy,6/19/2020 4:00,20.40449,93.7699,25.77676,26.80972,NAN,0
Quincy,6/19/2020 4:15,20.02751,96.49426,25.68735,26.68027,NAN,0
Quincy,6/19/2020 4:30,20.04888,95.52509,25.56906,26.57669,NAN,0
